Nr,Pavadinimas,Miestas,Adresas,Koordinatės,Google nuoroda
16,Ozas,Vilnius,Ozo ir Kalvarijų g. sankirta,"54.715327, 25.286405","https://www.google.com/maps?q=54.715327,25.286405"
17,Konstitucijos,Vilnius,Geležinio Vilko g. ,"54.6992, 25.26352","https://www.google.com/maps?q=54.6992,25.26352"
18,Narbuto,Vilnius,Geležinio Vilko g. ,"54.6977318860159, 25.2638217240978","https://www.google.com/maps?q=54.6977318860159,25.2638217240978"
19,Pedagoginis,Vilnius,Geležinio Vilko g. ,"54.6991, 25.26352","https://www.google.com/maps?q=54.6991,25.26352"
20,Lazdynai,Vilnius,Oslo g. ,"54.67176, 25.1977","https://www.google.com/maps?q=54.67176,25.1977"
21,Jasinskio,Vilnius,Geležinio Vilko g. ,"54.68809, 25.26216","https://www.google.com/maps?q=54.68809,25.26216"
22,Geležinio Vilko,Vilnius,Geležinio Vilko g. ,"54.68849, 25.26221","https://www.google.com/maps?q=54.68849,25.26221"
23,Šeškinės,Vilnius,Ukmergės g. ,"54.71663, 25.24675","https://www.google.com/maps?q=54.71663,25.24675"
24,Urmas,Kaunas,Pramonės pr. ir Taikos pr. žiedas,"54.9165890705751, 23.9850034976551","https://www.google.com/maps?q=54.9165890705751,23.9850034976551"
25,Taikos pr. ,Kaunas,Pramonės pr. ir Taikos pr. žiedas,"54.917250568578, 23.9850220110189","https://www.google.com/maps?q=54.917250568578,23.9850220110189"
26,Pramonės,Kaunas,Pramonės pr. ir Kovo 11-osios g. žiedas,"54.9014391455724, 23.974096295851","https://www.google.com/maps?q=54.9014391455724,23.974096295851"
27,Centras,Kaunas,Veiverių ir H. ir O. Minkovskių g. sankirta,"54.892279, 23.889691","https://www.google.com/maps?q=54.892279,23.889691"
28,Girstučio,Kaunas,Pramonės pr. ir Kovo 11-osios g. žiedas,"54.9010529854078, 23.9743481739536","https://www.google.com/maps?q=54.9010529854078,23.9743481739536"
29,Molas,Kaunas,Pramonės pr. ir Kovo 11-osios g. žiedas,"54.9013012823609, 23.9744490810266","https://www.google.com/maps?q=54.9013012823609,23.9744490810266"
30,Akropolis,Kaunas,Karaliaus Mindaugo ir Kaunakiemio g. sankirta,"54.889161, 23.919377","https://www.google.com/maps?q=54.889161,23.919377"
31,Vytauto pr. ,Kaunas,Vytauto pr. 66,"54.8971265479464, 23.9256070947444","https://www.google.com/maps?q=54.8971265479464,23.9256070947444"
32,Mega,Kaunas,Kuršių ir Jotvingių g. sankirta,"54.93592, 23.898474","https://www.google.com/maps?q=54.93592,23.898474"
33,Baltijos,Klaipėda,Baltijos ir Minijos g. sankirta,"55.68387, 21.149353","https://www.google.com/maps?q=55.68387,21.149353"
34,Centras,Klaipėda,Naujojo Sodo g. ir H. Manto g. sankryža,"55.7114201210237, 21.1314267145788","https://www.google.com/maps?q=55.7114201210237,21.1314267145788"
35,Dubijos,Šiauliai,Dubijos ir Žemaitės g. sankirta,"55.929461, 23.297976","https://www.google.com/maps?q=55.929461,23.297976"
36,Rūta,Šiauliai,Tilžės ir Vytauto g. sankirta,"55.929574, 23.311488","https://www.google.com/maps?q=55.929574,23.311488"
37,Ryo,Panevėžys,Klaipėdos ir Vakarinės g. sankirta,"55.7300295165971, 24.3158338499393","https://www.google.com/maps?q=55.7300295165971,24.3158338499393"
38,Klaipėdos,Panevėžys,Klaipėdos ir Vakarinės g. sankirta,"55.7300390443792, 24.3156688868955","https://www.google.com/maps?q=55.7300390443792,24.3156688868955"
39,Vilniaus,Panevėžys,Vilniaus g. 7,"55.7260117401454, 24.3649417293428","https://www.google.com/maps?q=55.7260117401454,24.3649417293428"
40,Centras,Panevėžys,J. Basanavičiaus g.,"55.72656, 24.36636","https://www.google.com/maps?q=55.72656,24.36636"
41,Maxima,Panevėžys,Klaipėdos g. 67,"55.728313, 24.337903","https://www.google.com/maps?q=55.728313,24.337903"
42,Mažeikiai,Regionai,Naftininkų g. 15,"56.3033474020062, 22.3375110260516","https://www.google.com/maps?q=56.3033474020062,22.3375110260516"
43,Alytus,Regionai,Kalniškės g.,"54.41213, 24.012006","https://www.google.com/maps?q=54.41213,24.012006"
44,Marijampolė,Regionai,Gedimino ir V. Kudirkos g. sankirta,"54.556267, 23.35467","https://www.google.com/maps?q=54.556267,23.35467"
45,Utena,Regionai,J. Basanavičiaus g.,"55.5011, 25.61442","https://www.google.com/maps?q=55.5011,25.61442"
46,Jonava,Regionai,Vasario 16-osios g. 1,"55.072985, 24.277059","https://www.google.com/maps?q=55.072985,24.277059"
47,Tauragė,Regionai,Dariaus ir Girėno g. 38A,"55.255735, 22.292082","https://www.google.com/maps?q=55.255735,22.292082"
48,Joniškis,Regionai,Livonijos g. ir Statybininkų g.,"56.2424879525916, 23.6172061742544","https://www.google.com/maps?q=56.2424879525916,23.6172061742544"
49,Šilutės,Klaipėda,Statybininkų ir Šilutės g. sankirta,"55.677379, 21.189214","https://www.google.com/maps?q=55.677379,21.189214"
50,Į Senamiestį ,Kaunas,Raudondvario pl. žiedas,"54.9060390137816, 23.8817093596744","https://www.google.com/maps?q=54.9060390137816,23.8817093596744"
51,Ateities,Vilnius,Ateities g. ,"54.7298583433962, 25.2384728104218","https://www.google.com/maps?q=54.7298583433962,25.2384728104218"
52,Iš Senamiesčio,Kaunas,Raudondvario pl. žiedas,"54.9059430816414, 23.8822818074643","https://www.google.com/maps?q=54.9059430816414,23.8822818074643"
53,Žemaičių plentas,Kaunas,Žemaičių plentas 62,"54.932028181227, 23.8861115818399","https://www.google.com/maps?q=54.932028181227,23.8861115818399"
54,Šilainiai,Kaunas,Žemaičių plentas 62,"54.9319477088037, 23.8861683209416","https://www.google.com/maps?q=54.9319477088037,23.8861683209416"
55,Akropolis △,Vilnius,Ozo/Gelvonų sankirta,"54.7111765804204, 25.2567460656164","https://www.google.com/maps?q=54.7111765804204,25.2567460656164"
56,Varnių,Kaunas,Varnių g. 51,"54.9146384375059, 23.9062559354947","https://www.google.com/maps?q=54.9146384375059,23.9062559354947"
